code_tokens,query_tokens
"[""def"", ""build"", ""literal"", ""("", ""self"", "","", ""nm"", "","", ""clsdata"", "")"", "":"", ""cls"", ""="", ""type"", ""("", ""str"", ""("", ""nm"", "")"", "","", ""tuple"", ""("", ""("", ""literal"", ""value"", "","", "")"", "")"", "","", ""{"", "":"", ""{"", "":"", ""clsdata"", "","", "":"", ""clsdata"", ""."", ""get"", ""("", "")"", "","", "":"", ""clsdata"", ""."", ""get"", ""("", "")"", ""}"", ""}"", "")"", ""return"", ""cls""]","[""todo"", ""docstring"", ""for"", ""build"", ""literal"", ""nm"", ""todo"", ""clsdata"", ""todo"", ""returns"", ""todo""]"
"[""def"", ""rank"", ""pv"", ""("", ""self"", "","", ""dt"", "","", ""dt"", ""2"", "","", ""memlimit"", ""="", ""-"", ""<"", ""num"", "">"", "")"", "":"", ""if"", ""self"", ""."", ""lib"", ""is"", ""none"", "":"", ""raise"", ""value"", ""error"", ""("", ""<"", ""str"", "">"", "")"", ""import"", ""numpy"", ""as"", ""np"", ""from"", ""."", ""auto"", ""import"", ""ftype"", ""np"", "","", ""gtype"", ""np"", ""from"", ""."", ""types"", ""import"", ""isint"", ""if"", ""dt"", ""."", ""dtype"", ""."", ""char"", ""!"", ""="", ""ftype"", ""np"", ""or"", ""dt"", ""2"", ""."", ""dtype"", ""."", ""char"", ""!"", ""="", ""ftype"", ""np"", "":"", ""raise"", ""value"", ""error"", ""("", "")"", ""if"", ""len"", ""("", ""dt"", ""."", ""shape"", "")"", ""!"", ""="", ""<"", ""num"", "">"", ""or"", ""len"", ""("", ""dt"", ""2"", ""."", ""shape"", "")"", ""!"", ""="", ""<"", ""num"", "">"", "":"", ""raise"", ""value"", ""error"", ""("", "")"", ""if"", ""not"", ""isint"", ""("", ""memlimit"", "")"", "":"", ""raise"", ""value"", ""error"", ""("", "")"", ""ng"", ""="", ""dt"", ""."", ""shape"", ""["", ""<"", ""num"", "">"", ""]"", ""nt"", ""="", ""dt"", ""2"", ""."", ""shape"", ""["", ""<"", ""num"", "">"", ""]"", ""ns"", ""="", ""dt"", ""."", ""shape"", ""["", ""<"", ""num"", "">"", ""]"", ""if"", ""dt"", ""2"", ""."", ""shape"", ""["", ""<"", ""num"", "">"", ""]"", ""!"", ""="", ""ns"", "":"", ""raise"", ""value"", ""error"", ""("", "")"", ""if"", ""np"", ""."", ""isnan"", ""("", ""dt"", "")"", ""."", ""sum"", ""("", "")"", ""+"", ""np"", ""."", ""isnan"", ""("", ""dt"", ""2"", "")"", ""."", ""sum"", ""("", "")"", "">"", ""<"", ""num"", "">"", "":"", ""raise"", ""value"", ""error"", ""("", "")"", ""dp"", ""="", ""np"", ""."", ""require"", ""("", ""np"", ""."", ""zeros"", ""("", ""("", ""ng"", "","", ""nt"", "")"", "","", ""dtype"", ""="", ""dt"", ""."", ""dtype"", "")"", "","", ""requirements"", ""="", ""["", "","", "","", "","", ""]"", "")"", ""dtr"", ""="", ""np"", ""."", ""require"", ""("", ""dt"", "","", ""requirements"", ""="", ""["", "","", "","", "","", ""]"", "")"", ""dt"", ""2"", ""r"", ""="", ""np"", ""."", ""require"", ""("", ""dt"", ""2"", "","", ""requirements"", ""="", ""["", "","", "","", "","", ""]"", "")"", ""arglist"", ""="", ""["", "","", "","", "","", ""]"", ""args"", ""="", ""["", ""dtr"", "","", ""dt"", ""2"", ""r"", "","", ""dp"", "","", ""memlimit"", ""]"", ""func"", ""="", ""self"", ""."", ""cfunc"", ""("", "","", ""rettype"", ""="", "","", ""argtypes"", ""="", ""arglist"", "")"", ""ret"", ""="", ""func"", ""("", ""*"", ""args"", "")"", ""ans"", ""="", ""{"", "":"", ""ret"", "","", "":"", ""dp"", ""}"", ""return"", ""ans""]","[""calculates"", ""p"", ""values"", ""of"", ""gene"", ""i"", ""correlating"", ""with"", ""gene"", ""j"", ""by"", ""converting"", ""log"", ""likelihoods"", ""into"", ""probabilities"", ""per"", ""a"", ""for"", ""all"", ""b"", ""dt"", ""numpy"", ""ndarray"", ""nt"", ""ns"", ""dtype"", ""ftype"", ""str"", ""by"", ""default"", ""gene"", ""expression"", ""data"", ""for"", ""a"", ""entry"", ""dt"", ""i"", ""j"", ""is"", ""gene"", ""i"", ""str"", ""f"", ""4"", ""str"", ""f"", ""4"", ""by"", ""default"", ""p"", ""values"", ""for"", ""a"", ""b"", ""ftype"", ""and"", ""gtype"", ""can"", ""be"", ""found"", ""in"", ""auto"", ""py"", ""example"", ""see"", ""findr"", ""examples"", ""geuvadis"", ""1"", ""similar"", ""format""]"
"[""def"", ""late"", ""filling"", ""("", ""target"", "","", ""pressure"", ""="", "","", ""pc"", ""star"", ""="", "","", ""swp"", ""star"", ""="", ""<"", ""num"", "">"", "","", ""eta"", ""="", ""<"", ""num"", "">"", "")"", "":"", ""r"", ""element"", ""="", ""pressure"", ""."", ""split"", ""("", "")"", ""["", ""<"", ""num"", "">"", ""]"", ""network"", ""="", ""target"", ""."", ""project"", ""."", ""network"", ""phase"", ""="", ""target"", ""."", ""project"", ""."", ""find"", ""phase"", ""("", ""target"", "")"", ""pc"", ""star"", ""="", ""phase"", ""["", ""pc"", ""star"", ""]"", ""pc"", ""="", ""phase"", ""["", ""pressure"", ""]"", ""ts"", ""="", ""network"", ""."", ""map"", ""throats"", ""("", ""throats"", ""="", ""target"", ""."", ""ts"", "","", ""origin"", ""="", ""target"", "")"", ""values"", ""="", ""values"", ""["", ""ts"", ""]"", ""else"", "":"", ""ps"", ""="", ""network"", ""."", ""map"", ""pores"", ""("", ""pores"", ""="", ""target"", ""."", ""ps"", "","", ""origin"", ""="", ""target"", "")"", ""values"", ""="", ""values"", ""["", ""ps"", ""]"", ""return"", ""values""]","[""r"", ""str"", ""calculates"", ""the"", ""fraction"", ""of"", ""a"", ""pore"", ""or"", ""throat"", ""filled"", ""with"", ""invading"", ""fluid"", ""based"", ""on"", ""the"", ""capillary"", ""pressure"", ""in"", ""the"", ""invading"", ""phase"", ""the"", ""invading"", ""phase"", ""volume"", ""is"", ""calculated"", ""from"", ""math"", ""s"", ""nwp"", ""num"", ""s"", ""wp"", ""p"", ""p"", ""c"", ""eta"", ""parameters"", ""pressure"", ""string"", ""the"", ""capillary"", ""pressure"", ""in"", ""the"", ""non"", ""wetting"", ""phase"", ""pc"", ""num"", ""pc"", ""star"", ""string"", ""the"", ""minimum"", ""pressure"", ""required"", ""to"", ""create"", ""an"", ""interface"", ""within"", ""the"", ""pore"", ""body"", ""or"", ""throat"", ""typically"", ""this"", ""would"", ""be"", ""calculated"", ""using"", ""the"", ""washburn"", ""equation"", ""swp"", ""star"", ""float"", ""the"", ""residual"", ""wetting"", ""phase"", ""in"", ""an"", ""invaded"", ""pore"", ""or"", ""throat"", ""at"", ""a"", ""pressure"", ""of"", ""str"", ""pc"", ""star"", ""str"", ""eta"", ""float"", ""exponent"", ""controlling"", ""the"", ""rate"", ""at"", ""which"", ""wetting"", ""phase"", ""is"", ""displaced"", ""with"", ""increasing"", ""pressure"", ""returns"", ""an"", ""array"", ""containing"", ""the"", ""fraction"", ""of"", ""each"", ""pore"", ""or"", ""throat"", ""that"", ""would"", ""be"", ""filled"", ""with"", ""non"", ""wetting"", ""phase"", ""at"", ""the"", ""given"", ""phase"", ""pressure"", ""this"", ""does"", ""not"", ""account"", ""for"", ""whether"", ""or"", ""not"", ""the"", ""element"", ""is"", ""actually"", ""invaded"", ""which"", ""requires"", ""a"", ""percolation"", ""algorithm"", ""of"", ""some"", ""sort""]"
"[""def"", ""group"", ""("", ""epilog"", ""="", ""none"", "","", ""help"", ""="", ""none"", "","", ""width"", ""="", ""<"", ""num"", "">"", "","", ""*"", ""*"", ""attrs"", "")"", "":"", ""if"", ""epilog"", ""is"", ""none"", "":"", ""epilog"", ""="", ""get"", ""caller"", ""doc"", ""("", "")"", ""attrs"", ""="", ""settings"", ""("", ""epilog"", ""="", ""epilog"", "","", ""help"", ""="", ""help"", "","", ""width"", ""="", ""width"", "","", ""*"", ""*"", ""attrs"", "")"", ""return"", ""click"", ""."", ""group"", ""("", ""*"", ""*"", ""attrs"", "")""]","[""same"", ""as"", ""str"", ""but"", ""with"", ""common"", ""settings"", ""ie"", ""str"", ""for"", ""help"", ""epilog"", ""slightly"", ""larger"", ""help"", ""display""]"
"[""async"", ""def"", ""start"", ""("", ""self"", "","", ""connection"", "":"", "")"", ""-"", "">"", "":"", ""self"", ""."", ""closed"", ""="", ""false"", ""self"", ""."", ""protocol"", ""="", ""connection"", ""."", ""protocol"", ""self"", ""."", ""connection"", ""="", ""connection"", ""with"", ""self"", ""."", ""timer"", "":"", ""while"", ""true"", "":"", ""try"", "":"", ""message"", "","", ""payload"", ""="", ""await"", ""self"", ""."", ""protocol"", ""."", ""read"", ""("", "")"", ""except"", ""http"", ""."", ""http"", ""processing"", ""error"", ""as"", ""exc"", "":"", ""raise"", ""client"", ""response"", ""error"", ""("", ""self"", ""."", ""request"", ""info"", "","", ""self"", ""."", ""history"", "","", ""status"", ""="", ""exc"", ""."", ""code"", "","", ""message"", ""="", ""exc"", ""."", ""message"", "","", ""headers"", ""="", ""exc"", ""."", ""headers"", "")"", ""from"", ""exc"", ""if"", ""("", ""message"", ""."", ""code"", ""<"", ""<"", ""num"", "">"", ""or"", ""message"", ""."", ""code"", "">"", ""<"", ""num"", "">"", ""or"", ""message"", ""."", ""code"", ""="", ""="", ""<"", ""num"", "">"", "")"", "":"", ""break"", ""if"", ""self"", ""."", ""continue"", ""is"", ""not"", ""none"", "":"", ""set"", ""result"", ""("", ""self"", ""."", ""continue"", "","", ""true"", "")"", ""self"", ""."", ""continue"", ""="", ""none"", ""payload"", ""."", ""on"", ""eof"", ""("", ""self"", ""."", ""response"", ""eof"", "")"", ""self"", ""."", ""version"", ""="", ""message"", ""."", ""version"", ""self"", ""."", ""status"", ""="", ""message"", ""."", ""code"", ""self"", ""."", ""reason"", ""="", ""message"", ""."", ""reason"", ""self"", ""."", ""headers"", ""="", ""message"", ""."", ""headers"", ""self"", ""."", ""raw"", ""headers"", ""="", ""message"", ""."", ""raw"", ""headers"", ""self"", ""."", ""content"", ""="", ""payload"", ""for"", ""hdr"", ""in"", ""self"", ""."", ""headers"", ""."", ""getall"", ""("", ""hdrs"", ""."", ""set"", ""cookie"", "","", ""("", "")"", "")"", "":"", ""try"", "":"", ""self"", ""."", ""cookies"", ""."", ""load"", ""("", ""hdr"", "")"", ""except"", ""cookie"", ""error"", ""as"", ""exc"", "":"", ""client"", ""logger"", ""."", ""warning"", ""("", "","", ""exc"", "")"", ""return"", ""self""]","[""start"", ""response"", ""processing""]"
"[""def"", ""get"", ""userstory"", ""by"", ""ref"", ""("", ""self"", "","", ""ref"", "")"", "":"", ""response"", ""="", ""self"", ""."", ""requester"", ""."", ""get"", ""("", "","", ""endpoint"", ""="", ""user"", ""story"", ""."", ""endpoint"", "","", ""us"", ""ref"", ""="", ""ref"", "","", ""project"", ""id"", ""="", ""self"", ""."", ""id"", "")"", ""return"", ""user"", ""story"", ""."", ""parse"", ""("", ""self"", ""."", ""requester"", "","", ""response"", ""."", ""json"", ""("", "")"", "")""]","[""get"", ""a"", ""class"", ""str"", ""by"", ""ref"", ""param"", ""ref"", ""class"", ""str"", ""reference""]"
"[""def"", ""zs"", ""("", ""self"", "")"", "":"", ""rpalladium"", ""vms"", ""="", ""self"", ""."", ""vms"", ""if"", ""vms"", "":"", ""return"", ""z"", ""("", ""self"", ""."", ""t"", "","", ""self"", ""."", ""p"", "","", ""vms"", "")"", ""return"", ""none""]","[""r"", ""str"", ""str"", ""palladium"", ""z"", ""num""]"
"[""def"", ""add"", ""inline"", ""interface"", ""("", ""self"", "","", ""interface"", ""id"", "","", ""second"", ""interface"", ""id"", "","", ""logical"", ""interface"", ""ref"", ""="", ""none"", "","", ""vlan"", ""id"", ""="", ""none"", "","", ""second"", ""vlan"", ""id"", ""="", ""none"", "","", ""zone"", ""ref"", ""="", ""none"", "","", ""second"", ""zone"", ""ref"", ""="", ""none"", "","", ""failure"", ""mode"", ""="", "","", ""comment"", ""="", ""none"", "","", ""*"", ""*"", ""kw"", "")"", "":"", ""interface"", ""spec"", ""="", ""{"", "":"", ""interface"", ""id"", "","", "":"", ""second"", ""interface"", ""id"", "","", "":"", ""kw"", ""."", ""get"", ""("", "")"", ""if"", ""self"", ""."", ""engine"", ""."", ""type"", ""in"", ""("", "","", "")"", ""else"", ""}"", ""interface"", ""="", ""{"", "":"", ""logical"", ""interface"", ""ref"", "","", "":"", ""failure"", ""mode"", "","", "":"", ""zone"", ""ref"", "","", "":"", ""second"", ""zone"", ""ref"", "","", "":"", ""comment"", ""}"", ""vlan"", ""="", ""{"", "":"", ""vlan"", ""id"", "","", "":"", ""second"", ""vlan"", ""id"", ""}"", ""try"", "":"", ""inline"", ""id"", ""="", ""."", ""format"", ""("", ""interface"", ""id"", "","", ""second"", ""interface"", ""id"", "")"", ""interface"", ""="", ""self"", ""."", ""engine"", ""."", ""interface"", ""."", ""get"", ""("", ""inline"", ""id"", "")"", ""interface"", ""."", ""update"", ""("", ""vlan"", "")"", ""interface"", ""spec"", ""."", ""update"", ""("", ""interfaces"", ""="", ""["", ""interface"", ""]"", "")"", ""interface"", ""."", ""add"", ""interface"", ""("", ""*"", ""*"", ""interface"", ""spec"", "")"", ""return"", ""interface"", ""."", ""update"", ""("", "")"", ""except"", ""interface"", ""not"", ""found"", "":"", ""interface"", ""."", ""update"", ""("", ""interfaces"", ""="", ""["", ""vlan"", ""]"", "")"", ""interface"", ""spec"", ""."", ""update"", ""("", ""interface"", "")"", ""interface"", ""="", ""layer"", ""2"", ""physical"", ""interface"", ""("", ""*"", ""*"", ""interface"", ""spec"", "")"", ""return"", ""self"", ""."", ""engine"", ""."", ""add"", ""interface"", ""("", ""interface"", "")""]","[""add"", ""an"", ""inline"", ""interface"", ""pair"", ""this"", ""method"", ""is"", ""only"", ""for"", ""ips"", ""or"", ""l"", ""2"", ""fw"", ""engine"", ""types"", ""param"", ""str"", ""interface"", ""id"", ""interface"", ""id"", ""of"", ""first"", ""interface"", ""param"", ""str"", ""second"", ""interface"", ""id"", ""second"", ""interface"", ""pair"", ""id"", ""param"", ""str"", ""href"", ""logical"", ""interface"", ""ref"", ""logical"", ""interface"", ""by"", ""href"", ""or"", ""name"", ""param"", ""str"", ""vlan"", ""id"", ""vlan"", ""id"", ""for"", ""first"", ""interface"", ""in"", ""pair"", ""param"", ""str"", ""second"", ""vlan"", ""id"", ""vlan"", ""id"", ""for"", ""second"", ""interface"", ""in"", ""pair"", ""param"", ""str"", ""href"", ""zone"", ""ref"", ""zone"", ""reference"", ""by"", ""name"", ""or"", ""href"", ""for"", ""first"", ""interface"", ""param"", ""str"", ""href"", ""second"", ""zone"", ""ref"", ""zone"", ""reference"", ""by"", ""nae"", ""or"", ""href"", ""for"", ""second"", ""interface"", ""param"", ""str"", ""failure"", ""mode"", ""normal"", ""or"", ""bypass"", ""param"", ""str"", ""comment"", ""optional"", ""comment"", ""raises"", ""engine"", ""command"", ""failed"", ""failure"", ""creating"", ""interface"", ""return"", ""none""]"
"[""def"", ""get"", ""report"", ""overview"", ""("", ""self"", "","", ""month"", "","", ""file"", ""path"", "")"", "":"", ""api"", ""="", ""self"", ""."", ""get"", ""api"", ""("", ""billing"", ""."", ""default"", ""api"", "")"", ""month"", ""="", ""self"", ""."", ""month"", ""converter"", ""("", ""month"", "")"", ""response"", ""="", ""api"", ""."", ""get"", ""billing"", ""report"", ""("", ""month"", ""="", ""month"", "")"", ""if"", ""file"", ""path"", ""and"", ""response"", "":"", ""content"", ""="", ""api"", ""."", ""api"", ""client"", ""."", ""sanitize"", ""for"", ""serialization"", ""("", ""response"", ""."", ""to"", ""dict"", ""("", "")"", "")"", ""with"", ""open"", ""("", ""file"", ""path"", "","", "")"", ""as"", ""fh"", "":"", ""fh"", ""."", ""write"", ""("", ""json"", ""."", ""dumps"", ""("", ""content"", "","", ""sort"", ""keys"", ""="", ""true"", "","", ""indent"", ""="", ""<"", ""num"", "">"", "","", "")"", "")"", ""return"", ""response""]","[""downloads"", ""a"", ""report"", ""overview"", ""param"", ""month"", ""month"", ""as"", ""datetime"", ""instance"", ""or"", ""string"", ""in"", ""yyyy"", ""mm"", ""format"", ""type"", ""month"", ""str"", ""or"", ""datetime"", ""param"", ""str"", ""file"", ""path"", ""location"", ""to"", ""store"", ""output"", ""file"", ""return"", ""outcome"", ""rtype"", ""true"", ""or"", ""none""]"
"[""def"", ""insertwordleft"", ""("", ""self"", "","", ""newword"", "","", ""nextword"", "","", ""*"", ""*"", ""kwargs"", "")"", "":"", ""if"", ""nextword"", "":"", ""if"", ""isstring"", ""("", ""nextword"", "")"", "":"", ""nextword"", ""="", ""self"", ""."", ""doc"", ""["", ""u"", ""("", ""nextword"", "")"", ""]"", ""if"", ""not"", ""nextword"", ""in"", ""self"", ""or"", ""not"", ""isinstance"", ""("", ""nextword"", "","", ""word"", "")"", "":"", ""raise"", ""exception"", ""("", ""<"", ""str"", "">"", "")"", ""if"", ""isinstance"", ""("", ""newword"", "","", ""list"", "")"", ""or"", ""isinstance"", ""("", ""newword"", "","", ""tuple"", "")"", "":"", ""if"", ""not"", ""all"", ""("", ""["", ""isinstance"", ""("", ""x"", "","", ""word"", "")"", ""for"", ""x"", ""in"", ""newword"", ""]"", "")"", "":"", ""raise"", ""exception"", ""("", ""<"", ""str"", "">"", "")"", ""elif"", ""not"", ""isinstance"", ""("", ""newword"", "","", ""word"", "")"", "":"", ""raise"", ""exception"", ""("", ""<"", ""str"", "">"", "")"", ""kwargs"", ""["", ""]"", ""="", ""self"", ""."", ""getindex"", ""("", ""nextword"", "")"", ""else"", "":"", ""kwargs"", ""["", ""]"", ""="", ""<"", ""num"", "">"", ""kwargs"", ""["", ""]"", ""="", ""true"", ""if"", ""isinstance"", ""("", ""newword"", "","", ""list"", "")"", ""or"", ""isinstance"", ""("", ""newword"", "","", ""tuple"", "")"", "":"", ""return"", ""self"", ""."", ""correctwords"", ""("", ""["", ""]"", "","", ""newword"", "","", ""*"", ""*"", ""kwargs"", "")"", ""else"", "":"", ""return"", ""self"", ""."", ""correctwords"", ""("", ""["", ""]"", "","", ""["", ""newword"", ""]"", "","", ""*"", ""*"", ""kwargs"", "")""]","[""inserts"", ""a"", ""word"", ""as"", ""a"", ""correction"", ""before"", ""an"", ""existing"", ""word"", ""reverse"", ""of"", ""meth"", ""str""]"
"[""def"", ""identical"", ""("", ""args"", "")"", "":"", ""from"", ""jcvi"", ""."", ""utils"", ""."", ""cbook"", ""import"", ""auto"", ""vivification"", ""allowed"", ""checksum"", ""="", ""["", ""<"", ""str"", "">"", "","", ""<"", ""str"", "">"", ""]"", ""p"", ""="", ""option"", ""parser"", ""("", ""identical"", ""."", ""doc"", "")"", ""p"", ""."", ""add"", ""option"", ""("", ""<"", ""str"", "">"", "","", ""default"", ""="", ""false"", "","", ""action"", ""="", ""<"", ""str"", "">"", "","", ""help"", ""="", ""<"", ""str"", "">"", "")"", ""p"", ""."", ""add"", ""option"", ""("", ""<"", ""str"", "">"", "","", ""default"", ""="", ""false"", "","", ""action"", ""="", ""<"", ""str"", "">"", "","", ""help"", ""="", ""<"", ""str"", "">"", ""<"", ""str"", "">"", ""fasta"", ""<"", ""str"", "">"", ""uniq"", ""sequences"", ""written"", ""to"", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""uniqfile"", "")"", "")"", ""uniqfw"", ""."", ""close"", ""("", "")""]","[""prog"", ""identical"", ""fasta"", ""given"", ""multiple"", ""fasta"", ""files"", ""find"", ""all"", ""the"", ""exactly"", ""identical"", ""records"", ""based"", ""on"", ""the"", ""computed"", ""md"", ""5"", ""hexdigest"", ""or"", ""gcg"", ""checksum"", ""of"", ""each"", ""sequence"", ""output"", ""is"", ""an"", ""n"", ""num"", ""column"", ""file"", ""where"", ""n"", ""number"", ""of"", ""input"", ""fasta"", ""files"", ""if"", ""there"", ""are"", ""duplicates"", ""within"", ""a"", ""given"", ""fasta"", ""file"", ""they"", ""will"", ""all"", ""be"", ""listed"", ""out"", ""in"", ""the"", ""same"", ""row"", ""separated"", ""by"", ""a"", ""comma"", ""example"", ""output"", ""tta"", ""1"", ""fsa"", ""tta"", ""2"", ""fsa"", ""t"", ""0"", ""num"", ""na"", ""t"", ""1"", ""num"", ""na"", ""t"", ""2"", ""num"", ""num"", ""num"", ""t"", ""3"", ""num"", ""num"", ""t"", ""4"", ""num"", ""num"", ""t"", ""5"", ""num"", ""num"", ""t"", ""6"", ""num"", ""num"", ""t"", ""7"", ""num"", ""na""]"
"[""def"", ""update"", ""("", ""self"", "","", ""docs"", "","", ""golds"", "","", ""drop"", ""="", ""<"", ""num"", "">"", "","", ""sgd"", ""="", ""none"", "","", ""losses"", ""="", ""none"", "","", ""component"", ""cfg"", ""="", ""none"", "")"", "":"", ""if"", ""len"", ""("", ""docs"", "")"", ""!"", ""="", ""len"", ""("", ""golds"", "")"", "":"", ""raise"", ""index"", ""error"", ""("", ""errors"", ""."", ""e"", ""009"", ""."", ""format"", ""("", ""n"", ""docs"", ""="", ""len"", ""("", ""docs"", "")"", "","", ""n"", ""golds"", ""="", ""len"", ""("", ""golds"", "")"", "")"", "")"", ""if"", ""len"", ""("", ""docs"", "")"", ""="", ""="", ""<"", ""num"", "">"", "":"", ""return"", ""if"", ""sgd"", ""is"", ""none"", "":"", ""if"", ""self"", ""."", ""optimizer"", ""is"", ""none"", "":"", ""self"", ""."", ""optimizer"", ""="", ""create"", ""default"", ""optimizer"", ""("", ""model"", ""."", ""ops"", "")"", ""sgd"", ""="", ""self"", ""."", ""optimizer"", ""gold"", ""objs"", ""="", ""["", ""]"", ""doc"", ""objs"", ""="", ""["", ""]"", ""for"", ""doc"", "","", ""gold"", ""in"", ""zip"", ""("", ""docs"", "","", ""golds"", "")"", "":"", ""if"", ""isinstance"", ""("", ""doc"", "","", ""basestring"", "")"", "":"", ""doc"", ""="", ""self"", ""."", ""make"", ""doc"", ""("", ""doc"", "")"", ""if"", ""not"", ""isinstance"", ""("", ""gold"", "","", ""gold"", ""parse"", "")"", "":"", ""gold"", ""="", ""gold"", ""parse"", ""("", ""doc"", "","", ""*"", ""*"", ""gold"", "")"", ""doc"", ""objs"", ""."", ""append"", ""("", ""doc"", "")"", ""gold"", ""objs"", ""."", ""append"", ""("", ""gold"", "")"", ""golds"", ""="", ""gold"", ""objs"", ""docs"", ""="", ""doc"", ""objs"", ""grads"", ""="", ""{"", ""}"", ""def"", ""get"", ""grads"", ""("", ""w"", "","", ""d"", ""w"", "","", ""key"", ""="", ""none"", "")"", "":"", ""grads"", ""["", ""key"", ""]"", ""="", ""("", ""w"", "","", ""d"", ""w"", "")"", ""get"", ""grads"", ""."", ""alpha"", ""="", ""sgd"", ""."", ""alpha"", ""get"", ""grads"", ""."", ""b"", ""1"", ""="", ""sgd"", ""."", ""b"", ""1"", ""get"", ""grads"", ""."", ""b"", ""2"", ""="", ""sgd"", ""."", ""b"", ""2"", ""pipes"", ""="", ""list"", ""("", ""self"", ""."", ""pipeline"", "")"", ""random"", ""."", ""shuffle"", ""("", ""pipes"", "")"", ""if"", ""component"", ""cfg"", ""is"", ""none"", "":"", ""component"", ""cfg"", ""="", ""{"", ""}"", ""for"", ""name"", "","", ""proc"", ""in"", ""pipes"", "":"", ""if"", ""not"", ""hasattr"", ""("", ""proc"", "","", ""<"", ""str"", "">"", "")"", "":"", ""continue"", ""grads"", ""="", ""{"", ""}"", ""kwargs"", ""="", ""component"", ""cfg"", ""."", ""get"", ""("", ""name"", "","", ""{"", ""}"", "")"", ""kwargs"", ""."", ""setdefault"", ""("", ""<"", ""str"", "">"", "","", ""drop"", "")"", ""proc"", ""."", ""update"", ""("", ""docs"", "","", ""golds"", "","", ""sgd"", ""="", ""get"", ""grads"", "","", ""losses"", ""="", ""losses"", "","", ""*"", ""*"", ""kwargs"", "")"", ""for"", ""key"", "","", ""("", ""w"", "","", ""d"", ""w"", "")"", ""in"", ""grads"", ""."", ""items"", ""("", "")"", "":"", ""sgd"", ""("", ""w"", "","", ""d"", ""w"", "","", ""key"", ""="", ""key"", "")""]","[""update"", ""the"", ""models"", ""in"", ""the"", ""pipeline"", ""docs"", ""iterable"", ""a"", ""batch"", ""of"", ""str"", ""objects"", ""golds"", ""iterable"", ""a"", ""batch"", ""of"", ""str"", ""objects"", ""drop"", ""float"", ""the"", ""droput"", ""rate"", ""sgd"", ""callable"", ""an"", ""optimizer"", ""returns"", ""dict"", ""results"", ""from"", ""the"", ""update"", ""docs"", ""https"", ""spacy"", ""io"", ""api"", ""language"", ""update""]"
"[""def"", ""subcellular"", ""locations"", ""("", ""self"", "")"", "":"", ""return"", ""["", ""x"", ""["", ""<"", ""num"", "">"", ""]"", ""for"", ""x"", ""in"", ""self"", ""."", ""session"", ""."", ""query"", ""("", ""models"", ""."", ""subcellular"", ""location"", ""."", ""location"", "")"", ""."", ""all"", ""("", "")"", ""]""]","[""distinct"", ""subcellular"", ""locations"", ""str"", ""location"", ""str"", ""in"", ""class"", ""str"", ""return"", ""all"", ""distinct"", ""subcellular"", ""locations"", ""rtype"", ""list"", ""str""]"
"[""def"", ""cluster"", ""join"", ""("", ""username"", "","", ""hostname"", "")"", "":"", ""*"", ""ret"", ""="", ""{"", "":"", "","", "":"", ""false"", ""}"", ""cmd"", ""="", ""execute"", ""cmd"", ""("", "","", ""."", ""format"", ""("", ""username"", "","", ""hostname"", "")"", "")"", ""if"", ""cmd"", ""["", ""]"", ""!"", ""="", ""<"", ""num"", "">"", "":"", ""ret"", ""["", ""]"", ""="", ""cmd"", ""["", ""]"", ""else"", "":"", ""ret"", ""["", ""]"", ""="", ""cmd"", ""["", ""]"", ""ret"", ""["", ""]"", ""="", ""true"", ""return"", ""ret""]","[""join"", ""a"", ""riak"", ""cluster"", ""versionchanged"", ""num"", ""num"", ""cli"", ""example"", ""code"", ""block"", ""bash"", ""salt"", ""str"", ""riak"", ""cluster"", ""join"", ""user"", ""host"", ""username"", ""the"", ""riak"", ""username"", ""to"", ""join"", ""the"", ""cluster"", ""hostname"", ""the"", ""riak"", ""hostname"", ""you"", ""are"", ""connecting"", ""to""]"
"[""def"", ""new"", ""from"", ""cmy"", ""("", ""c"", "","", ""m"", "","", ""y"", "","", ""alpha"", ""="", ""<"", ""num"", "">"", "","", ""wref"", ""="", ""default"", ""wref"", "")"", "":"", ""return"", ""color"", ""("", ""color"", ""."", ""cmy"", ""to"", ""rgb"", ""("", ""c"", "","", ""m"", "","", ""y"", "")"", "","", "","", ""alpha"", "","", ""wref"", "")""]","[""create"", ""a"", ""new"", ""instance"", ""based"", ""on"", ""the"", ""specifed"", ""cmy"", ""values"", ""parameters"", ""c"", ""the"", ""cyan"", ""component"", ""value"", ""num"", ""num"", ""m"", ""the"", ""magenta"", ""component"", ""value"", ""num"", ""num"", ""y"", ""the"", ""yellow"", ""component"", ""value"", ""num"", ""num"", ""alpha"", ""the"", ""color"", ""transparency"", ""num"", ""num"", ""default"", ""is"", ""opaque"", ""wref"", ""the"", ""whitepoint"", ""reference"", ""default"", ""is"", ""num"", ""d"", ""65"", ""returns"", ""a"", ""grapefruit"", ""color"", ""instance"", ""color"", ""new"", ""from"", ""cmy"", ""num"", ""num"", ""num"", ""num"", ""num"", ""num"", ""num"", ""color"", ""new"", ""from"", ""cmy"", ""num"", ""num"", ""num"", ""num"", ""num"", ""num"", ""num"", ""num""]"
