code_id,code,code_tokens
64,"def consume(self, istream, ostream, batch=False):
        
        datapoints = []  

        if batch:
            sleep = max(0.01, self.option.sleep)
            fd = istream.fileno()
            while True:
                try:
                    if select.select([fd], [], [], sleep):
                        try:
                            line = istream.readline()
                            if line == :
                                break
                            datapoints.append(self.consume_line(line))
                        except ValueError:
                            continue

                        if self.option.sort_by_column:
                            datapoints = sorted(datapoints, key=itemgetter(self.option.sort_by_column - 1))

                        if len(datapoints) > 1:
                            datapoints = datapoints[-self.maximum_points:]
                            self.update([dp[0] for dp in datapoints], [dp[1] for dp in datapoints])
                            self.render(ostream)

                        time.sleep(sleep)

                except KeyboardInterrupt:
                    break

        else:
            for line in istream:
                try:
                    datapoints.append(self.consume_line(line))
                except ValueError:
                    pass

            if self.option.sort_by_column:
                datapoints = sorted(datapoints, key=itemgetter(self.option.sort_by_column - 1))

            self.update([dp[0] for dp in datapoints], [dp[1] for dp in datapoints])
            self.render(ostream)","[""def"", ""consume"", ""("", ""self"", "","", ""istream"", "","", ""ostream"", "","", ""batch"", ""="", ""false"", "")"", "":"", ""datapoints"", ""="", ""["", ""]"", ""if"", ""batch"", "":"", ""sleep"", ""="", ""max"", ""("", ""<"", ""num"", "">"", "","", ""self"", ""."", ""option"", ""."", ""sleep"", "")"", ""fd"", ""="", ""istream"", ""."", ""fileno"", ""("", "")"", ""while"", ""true"", "":"", ""try"", "":"", ""if"", ""select"", ""."", ""select"", ""("", ""["", ""fd"", ""]"", "","", ""["", ""]"", "","", ""["", ""]"", "","", ""sleep"", "")"", "":"", ""try"", "":"", ""line"", ""="", ""istream"", ""."", ""readline"", ""("", "")"", ""if"", ""line"", ""="", ""="", "":"", ""break"", ""datapoints"", ""."", ""append"", ""("", ""self"", ""."", ""consume"", ""line"", ""("", ""line"", "")"", "")"", ""except"", ""value"", ""error"", "":"", ""continue"", ""if"", ""self"", ""."", ""option"", ""."", ""sort"", ""by"", ""column"", "":"", ""datapoints"", ""="", ""sorted"", ""("", ""datapoints"", "","", ""key"", ""="", ""itemgetter"", ""("", ""self"", ""."", ""option"", ""."", ""sort"", ""by"", ""column"", ""-"", ""<"", ""num"", "">"", "")"", "")"", ""if"", ""len"", ""("", ""datapoints"", "")"", "">"", ""<"", ""num"", "">"", "":"", ""datapoints"", ""="", ""datapoints"", ""["", ""-"", ""self"", ""."", ""maximum"", ""points"", "":"", ""]"", ""self"", ""."", ""update"", ""("", ""["", ""dp"", ""["", ""<"", ""num"", "">"", ""]"", ""for"", ""dp"", ""in"", ""datapoints"", ""]"", "","", ""["", ""dp"", ""["", ""<"", ""num"", "">"", ""]"", ""for"", ""dp"", ""in"", ""datapoints"", ""]"", "")"", ""self"", ""."", ""render"", ""("", ""ostream"", "")"", ""time"", ""."", ""sleep"", ""("", ""sleep"", "")"", ""except"", ""keyboard"", ""interrupt"", "":"", ""break"", ""else"", "":"", ""for"", ""line"", ""in"", ""istream"", "":"", ""try"", "":"", ""datapoints"", ""."", ""append"", ""("", ""self"", ""."", ""consume"", ""line"", ""("", ""line"", "")"", "")"", ""except"", ""value"", ""error"", "":"", ""pass"", ""if"", ""self"", ""."", ""option"", ""."", ""sort"", ""by"", ""column"", "":"", ""datapoints"", ""="", ""sorted"", ""("", ""datapoints"", "","", ""key"", ""="", ""itemgetter"", ""("", ""self"", ""."", ""option"", ""."", ""sort"", ""by"", ""column"", ""-"", ""<"", ""num"", "">"", "")"", "")"", ""self"", ""."", ""update"", ""("", ""["", ""dp"", ""["", ""<"", ""num"", "">"", ""]"", ""for"", ""dp"", ""in"", ""datapoints"", ""]"", "","", ""["", ""dp"", ""["", ""<"", ""num"", "">"", ""]"", ""for"", ""dp"", ""in"", ""datapoints"", ""]"", "")"", ""self"", ""."", ""render"", ""("", ""ostream"", "")""]"
65,"def pop(self, settings):
        
        if settings:
            for name in self.__slots__:
                self._set(name, settings.pop(name, UNSET))","[""def"", ""pop"", ""("", ""self"", "","", ""settings"", "")"", "":"", ""if"", ""settings"", "":"", ""for"", ""name"", ""in"", ""self"", ""."", ""slots"", "":"", ""self"", ""."", ""set"", ""("", ""name"", "","", ""settings"", ""."", ""pop"", ""("", ""name"", "","", ""unset"", "")"", "")""]"
66,"def getWorker(self, name):
		
		if not name in self.worker_list:
			self.logger.error(""Worker {0} is not registered!"".format(name))
			raise Exception(""Worker {0} is not registered!"".format(name))

		return self.worker_list[name]","[""def"", ""get"", ""worker"", ""("", ""self"", "","", ""name"", "")"", "":"", ""if"", ""not"", ""name"", ""in"", ""self"", ""."", ""worker"", ""list"", "":"", ""self"", ""."", ""logger"", ""."", ""error"", ""("", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""name"", "")"", "")"", ""raise"", ""exception"", ""("", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""name"", "")"", "")"", ""return"", ""self"", ""."", ""worker"", ""list"", ""["", ""name"", ""]""]"
67,"def as_artist(self, origin=(0, 0), **kwargs):
        
        from matplotlib.patches import Polygon
        xy = np.vstack([self.vertices.x - origin[0],
                        self.vertices.y - origin[1]]).transpose()

        mpl_params = self.mpl_properties_default()
        mpl_params.update(kwargs)

        return Polygon(xy=xy, **mpl_params)","[""def"", ""as"", ""artist"", ""("", ""self"", "","", ""origin"", ""="", ""("", ""<"", ""num"", "">"", "","", ""<"", ""num"", "">"", "")"", "","", ""*"", ""*"", ""kwargs"", "")"", "":"", ""from"", ""matplotlib"", ""."", ""patches"", ""import"", ""polygon"", ""xy"", ""="", ""np"", ""."", ""vstack"", ""("", ""["", ""self"", ""."", ""vertices"", ""."", ""x"", ""-"", ""origin"", ""["", ""<"", ""num"", "">"", ""]"", "","", ""self"", ""."", ""vertices"", ""."", ""y"", ""-"", ""origin"", ""["", ""<"", ""num"", "">"", ""]"", ""]"", "")"", ""."", ""transpose"", ""("", "")"", ""mpl"", ""params"", ""="", ""self"", ""."", ""mpl"", ""properties"", ""default"", ""("", "")"", ""mpl"", ""params"", ""."", ""update"", ""("", ""kwargs"", "")"", ""return"", ""polygon"", ""("", ""xy"", ""="", ""xy"", "","", ""*"", ""*"", ""mpl"", ""params"", "")""]"
68,"def synchronize(self):
        
        gdocs_trans_csv = os.path.join(self.temp_path, GDOCS_TRANS_CSV)
        gdocs_meta_csv = os.path.join(self.temp_path, GDOCS_META_CSV)
        local_trans_csv = os.path.join(self.temp_path, LOCAL_TRANS_CSV)
        local_meta_csv = os.path.join(self.temp_path, LOCAL_META_CSV)

        try:
            entry = self._download_csv_from_gdocs(gdocs_trans_csv,
                                                  gdocs_meta_csv)
        except PODocsError as e:
            if  in str(e) \
                    or  in str(e):
                self.upload()
            else:
                raise PODocsError(e)
        else:
            self._merge_local_and_gdoc(entry, local_trans_csv, local_meta_csv,
                                       gdocs_trans_csv, gdocs_meta_csv)

            try:
                csv_to_po(local_trans_csv, local_meta_csv,
                          self.locale_root, self.po_files_path, self.header)
            except IOError as e:
                raise PODocsError(e)

        self._clear_temp()","[""def"", ""synchronize"", ""("", ""self"", "")"", "":"", ""gdocs"", ""trans"", ""csv"", ""="", ""os"", ""."", ""path"", ""."", ""join"", ""("", ""self"", ""."", ""temp"", ""path"", "","", ""gdocs"", ""trans"", ""csv"", "")"", ""gdocs"", ""meta"", ""csv"", ""="", ""os"", ""."", ""path"", ""."", ""join"", ""("", ""self"", ""."", ""temp"", ""path"", "","", ""gdocs"", ""meta"", ""csv"", "")"", ""local"", ""trans"", ""csv"", ""="", ""os"", ""."", ""path"", ""."", ""join"", ""("", ""self"", ""."", ""temp"", ""path"", "","", ""local"", ""trans"", ""csv"", "")"", ""local"", ""meta"", ""csv"", ""="", ""os"", ""."", ""path"", ""."", ""join"", ""("", ""self"", ""."", ""temp"", ""path"", "","", ""local"", ""meta"", ""csv"", "")"", ""try"", "":"", ""entry"", ""="", ""self"", ""."", ""download"", ""csv"", ""from"", ""gdocs"", ""("", ""gdocs"", ""trans"", ""csv"", "","", ""gdocs"", ""meta"", ""csv"", "")"", ""except"", ""po"", ""docs"", ""error"", ""as"", ""e"", "":"", ""if"", ""in"", ""str"", ""("", ""e"", "")"", ""or"", ""in"", ""str"", ""("", ""e"", "")"", "":"", ""self"", ""."", ""upload"", ""("", "")"", ""else"", "":"", ""raise"", ""po"", ""docs"", ""error"", ""("", ""e"", "")"", ""else"", "":"", ""self"", ""."", ""merge"", ""local"", ""and"", ""gdoc"", ""("", ""entry"", "","", ""local"", ""trans"", ""csv"", "","", ""local"", ""meta"", ""csv"", "","", ""gdocs"", ""trans"", ""csv"", "","", ""gdocs"", ""meta"", ""csv"", "")"", ""try"", "":"", ""csv"", ""to"", ""po"", ""("", ""local"", ""trans"", ""csv"", "","", ""local"", ""meta"", ""csv"", "","", ""self"", ""."", ""locale"", ""root"", "","", ""self"", ""."", ""po"", ""files"", ""path"", "","", ""self"", ""."", ""header"", "")"", ""except"", ""io"", ""error"", ""as"", ""e"", "":"", ""raise"", ""po"", ""docs"", ""error"", ""("", ""e"", "")"", ""self"", ""."", ""clear"", ""temp"", ""("", "")""]"
69,"def remove(mod, persist=False, comment=True):
    t remove line from /boot/loader.conf but only
        comment it

    CLI Example:

    .. code-block:: bash

        salt  kmod.remove vmm
    cmd.run_allkldunload {0}retcodeError removing module {0}: {1}stderr'])","[""def"", ""remove"", ""("", ""mod"", "","", ""persist"", ""="", ""false"", "","", ""comment"", ""="", ""true"", "")"", "":"", ""t"", ""remove"", ""line"", ""from"", ""/"", ""boot"", ""/"", ""loader"", ""."", ""conf"", ""but"", ""only"", ""comment"", ""it"", ""cli"", ""example"", "":"", ""."", ""."", ""code"", ""-"", ""block"", "":"", "":"", ""bash"", ""salt"", ""kmod"", ""."", ""remove"", ""vmm"", ""cmd"", ""."", ""run"", ""allkldunload"", ""{"", ""<"", ""num"", "">"", ""}"", ""retcode"", ""error"", ""removing"", ""module"", ""{"", ""<"", ""num"", "">"", ""}"", "":"", ""{"", ""<"", ""num"", "">"", ""}"", ""stderr"", ""]"", "")""]"
70,"def make_payload(base, method, params):
    
    payload = {
        : ,
        : .format(**locals()),
        : utils.serialize_dict(params),
        : 1,
    }
    return payload","[""def"", ""make"", ""payload"", ""("", ""base"", "","", ""method"", "","", ""params"", "")"", "":"", ""payload"", ""="", ""{"", "":"", "","", "":"", ""."", ""format"", ""("", ""*"", ""*"", ""locals"", ""("", "")"", "")"", "","", "":"", ""utils"", ""."", ""serialize"", ""dict"", ""("", ""params"", "")"", "","", "":"", ""<"", ""num"", "">"", "","", ""}"", ""return"", ""payload""]"
71,"def recruit(self, n=1):
        
        logger.info(""Recruiting {} CLI participants"".format(n))
        urls = []
        template = ""{}/ad?recruiter={}&assignmentId={}&hitId={}&workerId={}&mode={}""
        for i in range(n):
            ad_url = template.format(
                get_base_url(),
                self.nickname,
                generate_random_id(),
                generate_random_id(),
                generate_random_id(),
                self._get_mode(),
            )
            logger.info(""{} {}"".format(NEW_RECRUIT_LOG_PREFIX, ad_url))
            urls.append(ad_url)

        return urls","[""def"", ""recruit"", ""("", ""self"", "","", ""n"", ""="", ""<"", ""num"", "">"", "")"", "":"", ""logger"", ""."", ""info"", ""("", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""n"", "")"", "")"", ""urls"", ""="", ""["", ""]"", ""template"", ""="", ""<"", ""str"", "">"", ""for"", ""i"", ""in"", ""range"", ""("", ""n"", "")"", "":"", ""ad"", ""url"", ""="", ""template"", ""."", ""format"", ""("", ""get"", ""base"", ""url"", ""("", "")"", "","", ""self"", ""."", ""nickname"", "","", ""generate"", ""random"", ""id"", ""("", "")"", "","", ""generate"", ""random"", ""id"", ""("", "")"", "","", ""generate"", ""random"", ""id"", ""("", "")"", "","", ""self"", ""."", ""get"", ""mode"", ""("", "")"", "","", "")"", ""logger"", ""."", ""info"", ""("", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""new"", ""recruit"", ""log"", ""prefix"", "","", ""ad"", ""url"", "")"", "")"", ""urls"", ""."", ""append"", ""("", ""ad"", ""url"", "")"", ""return"", ""urls""]"
72,"def libvlc_media_player_set_agl(p_mi, drawable):
    
    f = _Cfunctions.get(, None) or \
        _Cfunction(, ((1,), (1,),), None,
                    None, MediaPlayer, ctypes.c_uint32)
    return f(p_mi, drawable)","[""def"", ""libvlc"", ""media"", ""player"", ""set"", ""agl"", ""("", ""p"", ""mi"", "","", ""drawable"", "")"", "":"", ""f"", ""="", ""cfunctions"", ""."", ""get"", ""("", "","", ""none"", "")"", ""or"", ""cfunction"", ""("", "","", ""("", ""("", ""<"", ""num"", "">"", "","", "")"", "","", ""("", ""<"", ""num"", "">"", "","", "")"", "","", "")"", "","", ""none"", "","", ""none"", "","", ""media"", ""player"", "","", ""ctypes"", ""."", ""c"", ""uint"", ""32"", "")"", ""return"", ""f"", ""("", ""p"", ""mi"", "","", ""drawable"", "")""]"
73,"def _init_solc_binary(version):
        

        if not version:
            return os.environ.get(""SOLC"") or ""solc""

        
        main_version = solc.main.get_solc_version_string()
        main_version_number = re.match(r""\d+.\d+.\d+"", main_version)
        if main_version is None:
            raise CriticalError(
                ""Could not extract solc version from string {}"".format(main_version)
            )
        if version == main_version_number:
            log.info(""Given version matches installed version"")
            solc_binary = os.environ.get(""SOLC"") or ""solc""
        else:
            solc_binary = util.solc_exists(version)
            if solc_binary:
                log.info(""Given version is already installed"")
            else:
                try:
                    solc.install_solc(""v"" + version)
                    solc_binary = util.solc_exists(version)
                    if not solc_binary:
                        raise SolcError()
                except SolcError:
                    raise CriticalError(
                        ""There was an error when trying to install the specified solc version""
                    )

            log.info(""Setting the compiler to %s"", solc_binary)

        return solc_binary","[""def"", ""init"", ""solc"", ""binary"", ""("", ""version"", "")"", "":"", ""if"", ""not"", ""version"", "":"", ""return"", ""os"", ""."", ""environ"", ""."", ""get"", ""("", ""<"", ""str"", "">"", "")"", ""or"", ""<"", ""str"", "">"", ""main"", ""version"", ""="", ""solc"", ""."", ""main"", ""."", ""get"", ""solc"", ""version"", ""string"", ""("", "")"", ""main"", ""version"", ""number"", ""="", ""re"", ""."", ""match"", ""("", ""r"", ""<"", ""str"", "">"", "","", ""main"", ""version"", "")"", ""if"", ""main"", ""version"", ""is"", ""none"", "":"", ""raise"", ""critical"", ""error"", ""("", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""main"", ""version"", "")"", "")"", ""if"", ""version"", ""="", ""="", ""main"", ""version"", ""number"", "":"", ""log"", ""."", ""info"", ""("", ""<"", ""str"", "">"", "")"", ""solc"", ""binary"", ""="", ""os"", ""."", ""environ"", ""."", ""get"", ""("", ""<"", ""str"", "">"", "")"", ""or"", ""<"", ""str"", "">"", ""else"", "":"", ""solc"", ""binary"", ""="", ""util"", ""."", ""solc"", ""exists"", ""("", ""version"", "")"", ""if"", ""solc"", ""binary"", "":"", ""log"", ""."", ""info"", ""("", ""<"", ""str"", "">"", "")"", ""else"", "":"", ""try"", "":"", ""solc"", ""."", ""install"", ""solc"", ""("", ""<"", ""str"", "">"", ""+"", ""version"", "")"", ""solc"", ""binary"", ""="", ""util"", ""."", ""solc"", ""exists"", ""("", ""version"", "")"", ""if"", ""not"", ""solc"", ""binary"", "":"", ""raise"", ""solc"", ""error"", ""("", "")"", ""except"", ""solc"", ""error"", "":"", ""raise"", ""critical"", ""error"", ""("", ""<"", ""str"", "">"", "")"", ""log"", ""."", ""info"", ""("", ""<"", ""str"", "">"", "","", ""solc"", ""binary"", "")"", ""return"", ""solc"", ""binary""]"
74,"def update_hmet_card_file(hmet_card_file_path, new_hmet_data_path):
    
    hmet_card_file_path_temp = ""{0}_tmp"".format(hmet_card_file_path)
    try:
        remove(hmet_card_file_path_temp)
    except OSError:
        pass

    copy(hmet_card_file_path, hmet_card_file_path_temp)

    with io_open(hmet_card_file_path_temp, , newline=) as out_hmet_list_file:
        with open(hmet_card_file_path) as old_hmet_list_file:
            for date_path in old_hmet_list_file:
                out_hmet_list_file.write(u""{0}\n"".format(path.join(new_hmet_data_path,
                                                         path.basename(date_path))))
    try:
        remove(hmet_card_file_path)
    except OSError:
        pass

    rename(hmet_card_file_path_temp, hmet_card_file_path)","[""def"", ""update"", ""hmet"", ""card"", ""file"", ""("", ""hmet"", ""card"", ""file"", ""path"", "","", ""new"", ""hmet"", ""data"", ""path"", "")"", "":"", ""hmet"", ""card"", ""file"", ""path"", ""temp"", ""="", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""hmet"", ""card"", ""file"", ""path"", "")"", ""try"", "":"", ""remove"", ""("", ""hmet"", ""card"", ""file"", ""path"", ""temp"", "")"", ""except"", ""os"", ""error"", "":"", ""pass"", ""copy"", ""("", ""hmet"", ""card"", ""file"", ""path"", "","", ""hmet"", ""card"", ""file"", ""path"", ""temp"", "")"", ""with"", ""io"", ""open"", ""("", ""hmet"", ""card"", ""file"", ""path"", ""temp"", "","", "","", ""newline"", ""="", "")"", ""as"", ""out"", ""hmet"", ""list"", ""file"", "":"", ""with"", ""open"", ""("", ""hmet"", ""card"", ""file"", ""path"", "")"", ""as"", ""old"", ""hmet"", ""list"", ""file"", "":"", ""for"", ""date"", ""path"", ""in"", ""old"", ""hmet"", ""list"", ""file"", "":"", ""out"", ""hmet"", ""list"", ""file"", ""."", ""write"", ""("", ""u"", ""<"", ""str"", "">"", ""."", ""format"", ""("", ""path"", ""."", ""join"", ""("", ""new"", ""hmet"", ""data"", ""path"", "","", ""path"", ""."", ""basename"", ""("", ""date"", ""path"", "")"", "")"", "")"", "")"", ""try"", "":"", ""remove"", ""("", ""hmet"", ""card"", ""file"", ""path"", "")"", ""except"", ""os"", ""error"", "":"", ""pass"", ""rename"", ""("", ""hmet"", ""card"", ""file"", ""path"", ""temp"", "","", ""hmet"", ""card"", ""file"", ""path"", "")""]"
75,"def earth_gyro(RAW_IMU,ATTITUDE):
    
    r = rotation(ATTITUDE)
    accel = Vector3(degrees(RAW_IMU.xgyro), degrees(RAW_IMU.ygyro), degrees(RAW_IMU.zgyro)) * 0.001
    return r * accel","[""def"", ""earth"", ""gyro"", ""("", ""raw"", ""imu"", "","", ""attitude"", "")"", "":"", ""r"", ""="", ""rotation"", ""("", ""attitude"", "")"", ""accel"", ""="", ""vector"", ""3"", ""("", ""degrees"", ""("", ""raw"", ""imu"", ""."", ""xgyro"", "")"", "","", ""degrees"", ""("", ""raw"", ""imu"", ""."", ""ygyro"", "")"", "","", ""degrees"", ""("", ""raw"", ""imu"", ""."", ""zgyro"", "")"", "")"", ""*"", ""<"", ""num"", "">"", ""return"", ""r"", ""*"", ""accel""]"
76,"def ls(obj=None):
    
    if obj is None:
        
        import builtins
        all = builtins.__dict__.copy()
        all.update(globals())
        objlst = sorted(conf.layers, key=lambda x:x.__name__)
        for o in objlst:
            print(""%-10s : %s"" %(o.__name__,o.name))
    else:
        if isinstance(obj, type) and issubclass(obj, Packet):
            for f in obj.fields_desc:
                print(""%-10s : %-20s = (%s)"" % (f.name, f.__class__.__name__,  repr(f.default)))
        elif isinstance(obj, Packet):
            for f in obj.fields_desc:
                print(""%-10s : %-20s = %-15s (%s)"" % (f.name, f.__class__.__name__, repr(getattr(obj,f.name)), repr(f.default)))
            if not isinstance(obj.payload, NoPayload):
                print(""--"")
                ls(obj.payload)
                

        else:
            print(""Not a packet class. Type  to list packet classes."")","[""def"", ""ls"", ""("", ""obj"", ""="", ""none"", "")"", "":"", ""if"", ""obj"", ""is"", ""none"", "":"", ""import"", ""builtins"", ""all"", ""="", ""builtins"", ""."", ""dict"", ""."", ""copy"", ""("", "")"", ""all"", ""."", ""update"", ""("", ""globals"", ""("", "")"", "")"", ""objlst"", ""="", ""sorted"", ""("", ""conf"", ""."", ""layers"", "","", ""key"", ""="", ""lambda"", ""x"", "":"", ""x"", ""."", ""name"", "")"", ""for"", ""o"", ""in"", ""objlst"", "":"", ""print"", ""("", ""<"", ""str"", "">"", ""%"", ""("", ""o"", ""."", ""name"", "","", ""o"", ""."", ""name"", "")"", "")"", ""else"", "":"", ""if"", ""isinstance"", ""("", ""obj"", "","", ""type"", "")"", ""and"", ""issubclass"", ""("", ""obj"", "","", ""packet"", "")"", "":"", ""for"", ""f"", ""in"", ""obj"", ""."", ""fields"", ""desc"", "":"", ""print"", ""("", ""<"", ""str"", "">"", ""%"", ""("", ""f"", ""."", ""name"", "","", ""f"", ""."", ""class"", ""."", ""name"", "","", ""repr"", ""("", ""f"", ""."", ""default"", "")"", "")"", "")"", ""elif"", ""isinstance"", ""("", ""obj"", "","", ""packet"", "")"", "":"", ""for"", ""f"", ""in"", ""obj"", ""."", ""fields"", ""desc"", "":"", ""print"", ""("", ""<"", ""str"", "">"", ""%"", ""("", ""f"", ""."", ""name"", "","", ""f"", ""."", ""class"", ""."", ""name"", "","", ""repr"", ""("", ""getattr"", ""("", ""obj"", "","", ""f"", ""."", ""name"", "")"", "")"", "","", ""repr"", ""("", ""f"", ""."", ""default"", "")"", "")"", "")"", ""if"", ""not"", ""isinstance"", ""("", ""obj"", ""."", ""payload"", "","", ""no"", ""payload"", "")"", "":"", ""print"", ""("", ""<"", ""str"", "">"", "")"", ""ls"", ""("", ""obj"", ""."", ""payload"", "")"", ""else"", "":"", ""print"", ""("", ""<"", ""str"", "">"", "")""]"
77,"def powerset(iterable):
    
    ""list(powerset([1,2,3])) --> [(), (1,), (2,), (3,), (1,2), (1,3), (2,3), (1,2,3)]""
    s = list(iterable)
    return chain.from_iterable(combinations(s, r) for r in range(len(s) + 1))","[""def"", ""powerset"", ""("", ""iterable"", "")"", "":"", ""<"", ""str"", "">"", ""s"", ""="", ""list"", ""("", ""iterable"", "")"", ""return"", ""chain"", ""."", ""from"", ""iterable"", ""("", ""combinations"", ""("", ""s"", "","", ""r"", "")"", ""for"", ""r"", ""in"", ""range"", ""("", ""len"", ""("", ""s"", "")"", ""+"", ""<"", ""num"", "">"", "")"", "")""]"
78,"def exportTreeItem(self, sheet, cols, item):
        
        
        for c, col in enumerate(cols):
            data = unwrapVariant(item.data(Qt.EditRole, col))
            if data:
                sheet.write(self._currrow, c, nativestring(data))
            else:
                sheet.write(self._currrow, c, nativestring(item.text(col)))
        
        self._currrow += 1
        
        
        for c in range(item.childCount()):
            self.exportTreeItem(sheet, cols, item.child(c))","[""def"", ""export"", ""tree"", ""item"", ""("", ""self"", "","", ""sheet"", "","", ""cols"", "","", ""item"", "")"", "":"", ""for"", ""c"", "","", ""col"", ""in"", ""enumerate"", ""("", ""cols"", "")"", "":"", ""data"", ""="", ""unwrap"", ""variant"", ""("", ""item"", ""."", ""data"", ""("", ""qt"", ""."", ""edit"", ""role"", "","", ""col"", "")"", "")"", ""if"", ""data"", "":"", ""sheet"", ""."", ""write"", ""("", ""self"", ""."", ""currrow"", "","", ""c"", "","", ""nativestring"", ""("", ""data"", "")"", "")"", ""else"", "":"", ""sheet"", ""."", ""write"", ""("", ""self"", ""."", ""currrow"", "","", ""c"", "","", ""nativestring"", ""("", ""item"", ""."", ""text"", ""("", ""col"", "")"", "")"", "")"", ""self"", ""."", ""currrow"", ""+"", ""="", ""<"", ""num"", "">"", ""for"", ""c"", ""in"", ""range"", ""("", ""item"", ""."", ""child"", ""count"", ""("", "")"", "")"", "":"", ""self"", ""."", ""export"", ""tree"", ""item"", ""("", ""sheet"", "","", ""cols"", "","", ""item"", ""."", ""child"", ""("", ""c"", "")"", "")""]"
79,"def insert(self, index, object):
        
        self._check(object.id)
        list.insert(self, index, object)
        
        _dict = self._dict
        for i, j in iteritems(_dict):
            if j >= index:
                _dict[i] = j + 1
        _dict[object.id] = index","[""def"", ""insert"", ""("", ""self"", "","", ""index"", "","", ""object"", "")"", "":"", ""self"", ""."", ""check"", ""("", ""object"", ""."", ""id"", "")"", ""list"", ""."", ""insert"", ""("", ""self"", "","", ""index"", "","", ""object"", "")"", ""dict"", ""="", ""self"", ""."", ""dict"", ""for"", ""i"", "","", ""j"", ""in"", ""iteritems"", ""("", ""dict"", "")"", "":"", ""if"", ""j"", "">"", ""="", ""index"", "":"", ""dict"", ""["", ""i"", ""]"", ""="", ""j"", ""+"", ""<"", ""num"", "">"", ""dict"", ""["", ""object"", ""."", ""id"", ""]"", ""="", ""index""]"
80,"def bbox(self):
        
        xmin = min(self.start.real, self.end.real)
        xmax = max(self.start.real, self.end.real)
        ymin = min(self.start.imag, self.end.imag)
        ymax = max(self.start.imag, self.end.imag)
        return xmin, xmax, ymin, ymax","[""def"", ""bbox"", ""("", ""self"", "")"", "":"", ""xmin"", ""="", ""min"", ""("", ""self"", ""."", ""start"", ""."", ""real"", "","", ""self"", ""."", ""end"", ""."", ""real"", "")"", ""xmax"", ""="", ""max"", ""("", ""self"", ""."", ""start"", ""."", ""real"", "","", ""self"", ""."", ""end"", ""."", ""real"", "")"", ""ymin"", ""="", ""min"", ""("", ""self"", ""."", ""start"", ""."", ""imag"", "","", ""self"", ""."", ""end"", ""."", ""imag"", "")"", ""ymax"", ""="", ""max"", ""("", ""self"", ""."", ""start"", ""."", ""imag"", "","", ""self"", ""."", ""end"", ""."", ""imag"", "")"", ""return"", ""xmin"", "","", ""xmax"", "","", ""ymin"", "","", ""ymax""]"
81,"def normalized_scalar_param_list(param, length, param_conv=None,
                                 keep_none=True, return_nonconv=False):
    
    length, length_in = int(length), length
    if length < 0:
        raise ValueError(
                         .format(length_in))

    param = np.array(param, dtype=object, copy=True, ndmin=1)
    nonconv_list = list(np.broadcast_to(param, (length,)))

    if len(nonconv_list) != length:
        raise ValueError(
                         .format(len(nonconv_list), length))

    if param_conv is None:
        out_list = list(nonconv_list)
    else:
        out_list = []
        for p in nonconv_list:
            if p is None and keep_none:
                out_list.append(p)
            else:
                out_list.append(param_conv(p))

    if return_nonconv:
        return out_list, nonconv_list
    else:
        return out_list","[""def"", ""normalized"", ""scalar"", ""param"", ""list"", ""("", ""param"", "","", ""length"", "","", ""param"", ""conv"", ""="", ""none"", "","", ""keep"", ""none"", ""="", ""true"", "","", ""return"", ""nonconv"", ""="", ""false"", "")"", "":"", ""length"", "","", ""length"", ""in"", ""="", ""int"", ""("", ""length"", "")"", "","", ""length"", ""if"", ""length"", ""<"", ""<"", ""num"", "">"", "":"", ""raise"", ""value"", ""error"", ""("", ""."", ""format"", ""("", ""length"", ""in"", "")"", "")"", ""param"", ""="", ""np"", ""."", ""array"", ""("", ""param"", "","", ""dtype"", ""="", ""object"", "","", ""copy"", ""="", ""true"", "","", ""ndmin"", ""="", ""<"", ""num"", "">"", "")"", ""nonconv"", ""list"", ""="", ""list"", ""("", ""np"", ""."", ""broadcast"", ""to"", ""("", ""param"", "","", ""("", ""length"", "","", "")"", "")"", "")"", ""if"", ""len"", ""("", ""nonconv"", ""list"", "")"", ""!"", ""="", ""length"", "":"", ""raise"", ""value"", ""error"", ""("", ""."", ""format"", ""("", ""len"", ""("", ""nonconv"", ""list"", "")"", "","", ""length"", "")"", "")"", ""if"", ""param"", ""conv"", ""is"", ""none"", "":"", ""out"", ""list"", ""="", ""list"", ""("", ""nonconv"", ""list"", "")"", ""else"", "":"", ""out"", ""list"", ""="", ""["", ""]"", ""for"", ""p"", ""in"", ""nonconv"", ""list"", "":"", ""if"", ""p"", ""is"", ""none"", ""and"", ""keep"", ""none"", "":"", ""out"", ""list"", ""."", ""append"", ""("", ""p"", "")"", ""else"", "":"", ""out"", ""list"", ""."", ""append"", ""("", ""param"", ""conv"", ""("", ""p"", "")"", "")"", ""if"", ""return"", ""nonconv"", "":"", ""return"", ""out"", ""list"", "","", ""nonconv"", ""list"", ""else"", "":"", ""return"", ""out"", ""list""]"
